Engine,url,Make,Model,id,ModalInfo,Dealership,Location,first_seen,Price,last_seen
"1,4",https://www.nettiauto.com/volkswagen/golf/8340082,Volkswagen,Golf,8340082,"Comfortline 1,4 TSI MultiFuel BlueM 5ov TARJOUSAUTO KORKO 1% KÄSIRAHA ALK. O EUR. TOIMITUS KOTII",True,Keminmaa,17.07.2017,19700,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8661023,Volkswagen,Golf,8661023,"Highline 1,4 TSI 92 *KATSO VARUSTEET*",True,Jyväskylä,17.07.2017,31700,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8952839,Volkswagen,Golf,8952839,"Highline 2,0 TDI 103kw 4motion 5-ov **rahoitus,käsiraha alk.0€**",True,Kuopio,17.07.2017,10800,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8878712,Volkswagen,Golf,8878712,"Comfortline 1,6 TDI 77 kW (105 hv) BlueMotion Technology DSG-automaatti 4-ov",True,Tuusula,17.07.2017,11790,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8690949,Volkswagen,Golf,8690949,"UUSI MALLI! GTI 2,0 TSI 169kW/230hv DSG",True,Kuopio,17.07.2017,40900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8839860,Volkswagen,Golf,8839860,"Highline 2,0 TDI BlueM 3ov DSG (MY14)",True,Joensuu,17.07.2017,22990,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8578034,Volkswagen,Golf,8578034,"HIGHLINE 1.6 TDI DSG 5D PANORAMA, SUOMIAUTO, MAHTAVAS...",True,Espoo,17.07.2017,22900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8957962,Volkswagen,Golf,8957962,"Comfortline 1,2 TSI 77 BlueMoT 5-ov",True,Jyväskylä,17.07.2017,10900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8937315,Volkswagen,Golf,8937315,"Highline 1,4 TSI 118 kW 2-ovinen SUOMIAUTO DYNAUDIO-HIFIT",True,Jämsä,17.07.2017,12800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8696811,Volkswagen,Golf,8696811,"Comfortline 1,4 TSI 92 DSG (MY17)",True,Kajaani,17.07.2017,32300,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8927672,Volkswagen,Golf,8927672,"GTI 2,0 155 kW (210 hv) 4-ovinen",True,Hyvinkää,17.07.2017,18800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8849688,Volkswagen,Golf,8849688,"Comfortline 1,4 TSI 90kw 5-ov DSG-automaatti, Rahoitustarjous 0,99 %",True,Forssa,17.07.2017,12990,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8914392,Volkswagen,Golf,8914392,"Comfortline 1,2 TSI 77 BlueM 5ov",False,Oulu,17.07.2017,14600,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8710960,Volkswagen,Golf,8710960,"Highline 1,4TSI 90kW (122hv) BlueMotion DSG-Aut. 5D, HELMIÄISVALKOINEN,1 OMIST., SUOMI-AUTO",True,Espoo,17.07.2017,24900,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8935815,Volkswagen,Golf,8935815,"Trendline 1,0 TSI 63 (MY18)",True,Joensuu,17.07.2017,20897,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8903628,Volkswagen,Golf,8903628,"Comfortline 1,4 TSI 92 kW (125 hv) 6 KK KOROTONTA JA KULUTONTA MAKSUAIKAA",True,Hämeenlinna,17.07.2017,20880,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8662876,Volkswagen,Golf,8662876,"Trendline 1,2 TSI 63 BlueM 5ov (MY15)",True,Raisio,17.07.2017,14800,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8747739,Volkswagen,Golf,8747739,"GTI Performance 2,0 TSI 169 kW (230 hv) BlueMotion Technology DSG-automaatti 5-ov. HIENO 1-OMISTAJA!",True,Helsinki,17.07.2017,24990,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8632228,Volkswagen,Golf,8632228,"Comfort 1,4 TSI 90 5ov DSG",True,Hämeenlinna,17.07.2017,11700,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8926249,Volkswagen,Golf,8926249,Comfortline 2.0 TDI 103kw 5-ov DSG,True,Lahti,17.07.2017,8990,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8853669,Volkswagen,Golf,8853669,"Highline 1,6 TDI BlueM 5ov DSG",False,Kirkkonummi,17.07.2017,17500,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8899901,Volkswagen,Golf,8899901,"Comfortline 1,4 TSI 90kw 5-ov DSG",True,Tuusula,17.07.2017,10500,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8906697,Volkswagen,Golf,8906697,"Comfortline 1,4 TSI 92 DSG (MY17)",True,Kuopio,17.07.2017,30900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8906696,Volkswagen,Golf,8906696,"HIENO GTI HETI LUOVUTUKSEEN 2,0 TSI 169 DSG",True,Kuopio,17.07.2017,42400,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8609606,Volkswagen,Golf,8609606,"Comfortline 2,0 TDI 110kw 3ov rahoitus 0,99 %",True,Huittinen,17.07.2017,17900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8471578,Volkswagen,Golf,8471578,"Trendline 1,2 TSI 77 BlueM 5ov",True,Hämeenlinna,17.07.2017,13290,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8952253,Volkswagen,Golf,8952253,"Comfortline 1,6 TDI 77 kW (105 hv) BlueMotion Technology # WEBASTO # XENON #",True,Helsinki,17.07.2017,8900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8959668,Volkswagen,Golf,8959668,"GTD 2,0 125 kW (170 hv) 2-ovinen Suomen halvin GTD, Hyvillä Varusteilla!",False,Lempäälä,17.07.2017,9900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8904999,Volkswagen,Golf,8904999,"Comfortline 1,2 TSI 77 kW (105 hv) DSG-automaatti",True,Vantaa,17.07.2017,12900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8633653,Volkswagen,Golf,8633653,"Comfortline 1,4 TSI 90 kW 4-ovinen",True,Ylivieska,17.07.2017,9800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8655348,Volkswagen,Golf,8655348,"Comfortline 1,4 TSI 92 DSG (MY17)",True,Kerava,17.07.2017,30399,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8962347,Volkswagen,Golf,8962347,Highline 1.4 TSI 118kw 5-ov,False,Somero,17.07.2017,7900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8804453,Volkswagen,Golf,8804453,"Comfort 1,2 TSI 77 BlueMot Tech 5ov DSG",False,Lahti,17.07.2017,11400,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8319576,Volkswagen,Golf,8319576,"BlueMotion 1,6 TDI 77 kW (105 hv) 4-ovinen 6 KK KOROTONTA JA KULUTONTA MAKSUAIKAA",True,Seinäjoki,17.07.2017,12990,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8779289,Volkswagen,Golf,8779289,"Comfortline 1,0 TSI 81 UUSI AUTO HETI TOIMITUKSEEN!",True,Lohja,17.07.2017,26638,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8782844,Volkswagen,Golf,8782844,"Comfortline 1,6 TDI 77 BlueMoT 5-ov",True,Porvoo,17.07.2017,9990,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8947558,Volkswagen,Golf,8947558,"Trendline 1,2 TSI 63 BlueM 5ov (MY15)",True,Porvoo,17.07.2017,14900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8858007,Volkswagen,Golf,8858007,"Comfort 1,4 TSI 90 KW",True,Joensuu,17.07.2017,12900,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8930876,Volkswagen,Golf,8930876,"BlueMotion 1,6 TDI 77 kW (105 hv) 4-ovinen",False,Hämeenlinna,17.07.2017,20500,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8925220,Volkswagen,Golf,8925220,"Comfortline 1,6 TDI 77 kW (105 hv) BlueMotion Technology DSG-automaatti 4-ov",True,Kotka,17.07.2017,11800,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8838360,Volkswagen,Golf,8838360,"Comfortline 1,0 TSI 81 kW (110 hv) DSG-automaatti",True,Kotka,17.07.2017,28500,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8898870,Volkswagen,Golf,8898870,"Trendline 1,2 TSI 63kw 5-ov",False,Kerava,17.07.2017,9600,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8911641,Volkswagen,Golf,8911641,"Comfortline 1,0 TSI 81 kW (110 hv)",True,Vaasa,17.07.2017,26295,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8922646,Volkswagen,Golf,8922646,"Trendline 1,2 TSI 85hv 5-ov.",True,Vantaa,17.07.2017,10900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8928120,Volkswagen,Golf,8928120,"COMFORTLINE+ S/S 77kW/105hv. AutoAC, Webasto... Vaihto?",False,Lahti,17.07.2017,17777,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8697822,Volkswagen,Golf,8697822,GTE Plug-In Hybrid 150 5ov DSG (MY16),True,Lohja,17.07.2017,33900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8865131,Volkswagen,Golf,8865131,"GTI 2,0 155 kW (210 hv) 4-ovinen",False,Naantali,17.07.2017,15300,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8823607,Volkswagen,Golf,8823607,1.6 TDI 77kW Comfortline Bluemotion DSG,True,Helsinki,17.07.2017,19900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8914927,Volkswagen,Golf,8914927,"Highline 1,4 TSI 90kw 5-ov DSG**Korko Huoltorahalla vain 1,9%+kulut**",True,Oulu,17.07.2017,12590,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8925639,Volkswagen,Golf,8925639,1.6 TDI BMT Trendline 5-ov,True,Seinäjoki,17.07.2017,14850,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8637745,Volkswagen,Golf,8637745,"GTD 2,0 TDI 135 kW (184 hv) BlueMotion Technology",True,Espoo,17.07.2017,27000,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8891681,Volkswagen,Golf,8891681,"Comfortline BlueMotion 1,6 TDI 77kw 5-ov",False,Rauma,17.07.2017,9900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8888349,Volkswagen,Golf,8888349,"1.4 TSi 122 HV HV 5-OVINEN ILMASTOINTI ESP ABS 6""AIRBAG KESKUSLUKKO CD",True,Tuusula,17.07.2017,9800,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8944070,Volkswagen,Golf,8944070,"Comfortline 1,2 TSI 77 kW (105 hv) BlueMotion Technology DSG-aut 4-ovinen",True,Raisio,17.07.2017,14400,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8636699,Volkswagen,Golf,8636699,"Comfortline 1,0 TSI UUSI auto heti toimitukseen!",True,Raasepori,17.07.2017,24930,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8791682,Volkswagen,Golf,8791682,"Luxline 1,2 TSI 63 5ov",True,Tampere,17.07.2017,19500,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8791681,Volkswagen,Golf,8791681,"Trendline 1,2 TSI 77 BlueM 5ov",True,Tampere,17.07.2017,14300,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8907831,Volkswagen,Golf,8907831,"1.2 TSi 105 HV BLUEMOTION 5-OVINEN ILMASTOINTI ESP 6""AIRBAG KESKUSLUKKO CD",True,Tuusula,17.07.2017,11800,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8453726,Volkswagen,Golf,8453726,"Trendline 1,2 TSI 63 kW (85 hv) BlueMotion Technology 4-ovinen 6 KK KOROTONTA JA KULUTONTA MAKSUAIKA",True,Seinäjoki,17.07.2017,15790,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8782617,Volkswagen,Golf,8782617,GTE Plug-In Hybrid 150 kW (204 hv) DSG-automaatti,True,Espoo,17.07.2017,41900,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8898260,Volkswagen,Golf,8898260,"Trendline 1,0 TSI 63 kW (85 hv)",True,Seinäjoki,17.07.2017,20297,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8932767,Volkswagen,Golf,8932767,"Highline 1,4 TSI 103 ACT BlueM 5ov DSG",False,Helsinki,17.07.2017,16999,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8871705,Volkswagen,Golf,8871705,"Comfortline 1,4 TSI 90kw 5-ov",False,Kokkola,17.07.2017,9650,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8808985,Volkswagen,Golf,8808985,"Comfortline 1,0 TSI 81 DSG UUSI AUTO NOPEAAN TOIMITUKSEEN!",True,Lohja,17.07.2017,26964,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8560785,Volkswagen,Golf,8560785,"Comfortline 1,6 TDI 77 kW (105 hv) BlueMotion Technology 4-ovinen Hienokuntoinen uusikorinen Golf!",True,Helsinki,17.07.2017,15900,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8940300,Volkswagen,Golf,8940300,"75Kw MULTIFUEL, Ajettu vain 33Tkm, Aa/c, Huoltokirja, 2xRenkaat, Vaihto / Rahoitus alk 2,9%,jopa ilman käsirahaa ja 96kk",True,Vantaa,17.07.2017,14900,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8819806,Volkswagen,Golf,8819806,"Comfortline 1,6 TDI 77 kW (105 hv) BlueMotion Technology DSG-automaatti 4-ov **** Rahoituskorko vain",True,Jyväskylä,17.07.2017,12900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8602046,Volkswagen,Golf,8602046,Trendline 1.4 TSI 90kw 5-ov,True,Joensuu,17.07.2017,10900,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8934000,Volkswagen,Golf,8934000,"Trendline 1,0 TSI 85hv",True,Porvoo,17.07.2017,23170,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8790924,Volkswagen,Golf,8790924,"Trendline 1,2 TSI 63 BlueM 5ov",True,Joensuu,17.07.2017,14490,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8875228,Volkswagen,Golf,8875228,"Comfortline 1,4 TSI 90 BlueM 5ov",True,Tampere,17.07.2017,14900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8893228,Volkswagen,Golf,8893228,"Comfortline 1,2 TSI 77 kW (105 hv) BlueMotion Technology DSG-aut 4-ov",True,Espoo,17.07.2017,12900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8676448,Volkswagen,Golf,8676448,"2.0 TDI Highline TAKUU 1V./20TKM ,SIS.ALV! Webasto, Xenon, Avaimeton käynnistys, Navi, Vakkari, IlmanKäsirahaa!",True,Iisalmi,17.07.2017,18800,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8855168,Volkswagen,Golf,8855168,"Comfortline Edition 40 1,6 TDI 77 kW (105 hv) BMT 4-ovinen WEBASTO, KORKOTARJOUS 1,75% IL",True,Espoo,17.07.2017,20890,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8765970,Volkswagen,Golf,8765970,"Highline 1,6 TDI 77 kW (105 hv) BlueMotion Technology DSG-automaatti 4-ovinen",True,Kuopio,17.07.2017,7890,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8882490,Volkswagen,Golf,8882490,"Comfortline 1,6 TDI BlueM 5ov DSG (MY14)",True,Jyväskylä,17.07.2017,19500,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8842657,Volkswagen,Golf,8842657,"Comfortline 1,2 TSI BlueM 5ov (MY14)",True,Loimaa,17.07.2017,15400,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8783672,Volkswagen,Golf,8783672,"GTD 2,0 TDI 135 kW (184 hv) DSG-automaatti",True,Alavus,17.07.2017,39900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8898158,Volkswagen,Golf,8898158,GTE Plug-In Hybrid 150 kW (204 hv) DSG-automaatti,True,Turku,17.07.2017,36900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8873636,Volkswagen,Golf,8873636,Trendline 2.0 TDI 81kw 5-ov Webasto kaukosäädöllä,False,Taivalkoski,17.07.2017,7290,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8825137,Volkswagen,Golf,8825137,"Trendline 1,0 TSI 63 kW (85 hv)",True,Lappeenranta,17.07.2017,21050,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8825134,Volkswagen,Golf,8825134,"Comfortline 1,0 TSI 81 kW (110 hv) DSG-automaatti",True,Lappeenranta,17.07.2017,27692,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8825135,Volkswagen,Golf,8825135,"Comfortline 1,0 TSI 81 kW (110 hv)",True,Lappeenranta,17.07.2017,24331,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8916175,Volkswagen,Golf,8916175,"Trendline 1,2 TSI BlueMotion - VAIHTO/RAHOITUS",True,Tampere,17.07.2017,14690,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8944581,Volkswagen,Golf,8944581,"Highline 1,4 TSI 118kw 5-ov DSG",False,Lahti,17.07.2017,12800,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8923969,Volkswagen,Golf,8923969,"Comfortline 1,2 TSI 77kw BlueMoT 5-ov *rahoitus alkaen 170e/kk*",True,Kalajoki,17.07.2017,11900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8755132,Volkswagen,Golf,8755132,"Trendline 1,2 TSI 77 kW (105 hv) BlueMotion Technology 4-ovinen",False,Kempele,17.07.2017,10900,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8547921,Volkswagen,Golf,8547921,"Comfortline 1,6 TDI BlueM 3ov DSG",True,Hämeenlinna,17.07.2017,15500,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8662765,Volkswagen,Golf,8662765,"Comfortline 1,2 TSI 77 kW 5-ov Webasto",True,Tampere,17.07.2017,15400,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8877515,Volkswagen,Golf,8877515,"Comfortline 1,6 TDI 81 BlueM 5ov",True,Kokkola,17.07.2017,14400,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8954253,Volkswagen,Golf,8954253,"Highline 2,0 TDI 4-Motion 103 kW (140 hv) 5-ovinen",False,Espoo,17.07.2017,13900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8761280,Volkswagen,Golf,8761280,"Comfortline 1,4 TSI 90 kW, DSG-autom. 4-ovinen",True,Rauma,17.07.2017,12400,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8901089,Volkswagen,Golf,8901089,"Comfortline 1,2 TSI 77kw BlueMoT 5-ov",False,Jyväskylä,17.07.2017,10800,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8922682,Volkswagen,Golf,8922682,"Comfortline 1,6 TDI 81 kW (110 hv)#1-OMISTEINEN#VAI...",True,Helsinki,17.07.2017,21800,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8903388,Volkswagen,Golf,8903388,"Comfort Plus 2,0 TDI 103 BlueM 5ov DSG",False,Huittinen,17.07.2017,12000,17.07.2017
